test_id,test_type,input_monday_update,expected_output,expected_output_type,evaluation_criteria,priority,active
GS_A001,analysis,Analyse le fichier main.py,"Le fichier main.py contient une API FastAPI avec 5 endpoints principaux: /health, /process, /status, /evaluation/run, /evaluation/report. Il utilise un agent VyData pour traiter les requêtes, intègre Monday.com et GitHub, et gère un workflow asynchrone avec LangGraph.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_A002,analysis,Quelle est la structure du projet ?,"Le projet est structuré en modules : services/ (logique métier avec agent_service, workflow_service, human_validation_service), models/ (schémas Pydantic), api/ (routes FastAPI), utils/ (logger, formatters), tools/ (monday_tool, github_tool), nodes/ (analyze_node, update_node, validation_node), data/ (bases de données et datasets)",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_A003,analysis,hello,"Bonjour ! 👋 Je suis VyData, votre assistant IA de développement. Je peux vous aider à : analyser du code et l'architecture, répondre à vos questions techniques, créer des Pull Requests sur GitHub, corriger des bugs, implémenter de nouvelles fonctionnalités. Comment puis-je vous aider aujourd'hui ?",resultats_analyses,clarity;actionability,medium,TRUE
GS_A004,analysis,Explique comment fonctionne le service de validation humaine,"Le service de validation humaine (human_validation_service.py) permet de mettre en pause le workflow agent lorsqu'une validation manuelle est nécessaire. Il stocke les demandes en base de données, notifie via Monday.com, attend la réponse humaine (approve/reject), puis reprend le workflow. Il utilise un système de locks pour éviter les conflits et supporte un timeout configurable.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_A005,analysis,Quels sont les outils disponibles pour l'agent ?,"L'agent dispose de plusieurs outils : monday_tool (lecture/écriture sur Monday.com, gestion des colonnes et updates), github_tool (création de branches, PRs, commits, analyse de code), search_tool (recherche sémantique dans le code), file_tool (lecture/écriture de fichiers), et sql_tool (requêtes base de données pour l'historique).",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_A006,analysis,Résume le dernier commit sur la branche main,"Le dernier commit sur main (SHA: abc123def) a été effectué par Jean Dupont le 2025-11-05 à 14:30. Message: 'feat: Add Excel support for golden datasets'. Fichiers modifiés: services/evaluation/excel_golden_dataset_service.py (+150 lignes), README.md (+20 lignes). Ce commit ajoute le support des datasets au format Excel.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,medium,TRUE
GS_A007,analysis,Explique le workflow de l'agent,"Le workflow de l'agent suit ces étapes : 1) Réception d'un update Monday, 2) Analyse de la requête (analyse_node), 3) Décision d'action (router), 4) Validation humaine si nécessaire, 5) Exécution de l'action (création PR ou analyse), 6) Mise à jour Monday avec résultats, 7) Enregistrement en base de données. Le workflow utilise LangGraph pour la gestion d'état.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_P001,pr,Crée un formulaire de login avec validation,"PR #156 créée avec succès sur la branche feat/login-form : Implémentation complète avec LoginForm.tsx (composant React avec hooks), validation email (regex RFC 5322) et password (min 8 caractères, 1 majuscule, 1 chiffre, 1 caractère spécial), LoginForm.test.tsx (10 tests Jest, couverture 95%), LoginForm.css (design moderne responsive), README.md mis à jour avec exemples d'utilisation.",pr,accuracy;completeness;clarity;code_quality;actionability,high,TRUE
GS_P002,pr,Ajoute un endpoint GET /users avec pagination,"PR #157 créée sur feat/users-endpoint : routes/users.js (endpoint GET /users avec query params limit/offset), controllers/userController.js (logique métier avec gestion cache), middleware de validation des paramètres, gestion erreurs (404 si aucun user, 500 si erreur serveur), tests d'intégration (test_users_endpoint.js avec 8 scénarios), documentation Swagger mise à jour.",pr,accuracy;completeness;clarity;code_quality;actionability,high,TRUE
GS_P003,pr,Corrige le bug de gestion d'erreur dans getUserById,"PR #158 créée sur fix/user-error-handling : Correction dans controllers/userController.js avec ajout de try-catch complet, retour HTTP 404 avec message explicite si user non trouvé, retour HTTP 500 avec logging si erreur DB, ajout de tests pour les cas d'erreur (test_user_errors.js), pas de régression sur les tests existants (100% passent).",pr,accuracy;completeness;clarity;code_quality;actionability,high,TRUE
GS_P004,pr,Ajoute des tests unitaires pour UserService,"PR #159 créée sur test/user-service : tests/services/test_user_service.js avec 15 tests couvrant CRUD complet (createUser, getUser, updateUser, deleteUser), tests des cas d'erreur (validation, DB erreurs), mocks pour la base de données (tests/mocks/db_mock.js), couverture de code 92% sur UserService, tous les tests passent en 2.3s.",pr,accuracy;completeness;clarity;code_quality;actionability,high,TRUE
GS_P005,pr,Ajoute un fichier README.md avec documentation complète,"PR #160 créée sur docs/readme : README.md avec titre et description du projet, badges (build status, coverage, version), instructions d'installation (prérequis, commandes npm/pip), guide d'utilisation avec exemples de code, architecture du projet (diagramme + description), variables d'environnement nécessaires, contribution guidelines, licence MIT.",pr,accuracy;completeness;clarity;code_quality;actionability,medium,TRUE
GS_P006,pr,Implémente un système de cache Redis,"PR #161 créée sur feat/redis-cache : services/cache_service.js (wrapper Redis avec get/set/delete/flush), configuration Redis dans .env, middleware de cache pour les endpoints API fréquents, TTL configurable par endpoint, tests d'intégration avec Redis mock, documentation sur l'utilisation du cache, amélioration performance de 60% sur /users endpoint.",pr,accuracy;completeness;clarity;code_quality;actionability,high,TRUE
GS_A008,analysis,Quelles sont les dépendances principales du projet ?,"Les dépendances principales sont : FastAPI (framework web), LangChain et LangGraph (orchestration agent IA), Anthropic/OpenAI (LLMs), SQLAlchemy (ORM base de données), Pydantic (validation données), httpx (requêtes HTTP), pandas et openpyxl (manipulation Excel), pytest (tests), uvicorn (serveur ASGI). Voir requirements.txt pour la liste complète avec versions.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,medium,TRUE
GS_A009,analysis,Comment l'agent gère-t-il les erreurs ?,"L'agent gère les erreurs via plusieurs mécanismes : try-catch dans chaque node du workflow, logging détaillé avec niveaux (ERROR, WARNING, INFO), sauvegarde des erreurs en base de données, notification sur Monday.com en cas d'échec, retry automatique (max 3 fois) avec backoff exponentiel, fallback vers validation humaine si erreur critique, métriques d'erreurs dans les rapports.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE
GS_A010,analysis,Décris le système de validation humaine,"Le système de validation humaine permet de solliciter un humain pendant le workflow : création d'une demande (HumanValidationRequest), stockage en DB avec statut 'pending', notification Monday avec détails et boutons d'action, pause du workflow (lock), attente de la réponse (polling ou webhook), récupération de la décision (approved/rejected + feedback), reprise du workflow, timeout après 24h par défaut.",resultats_analyses,accuracy;completeness;clarity;data_quality;actionability,high,TRUE

